base,forms,chain,cost,role,rarity,types,traits,hp,atk,def,speed,skill,ability_damage,sprites_have,sprites_need
"phanpy","2","phanpy>donphan","3","fighter","rare","GROUND","","80","5","8","41","RAPID_SPIN","20/50/100/200 special","0","2"
"phantump","2","phantump>trevenant","4","tank","rare","GHOST/GRASS","wincon","90","8","6","43","POLTERGEIST","30/60/120/240 special","0","2"
"pheromosa","1","pheromosa","7","runner","legendary","BUG/FIGHTING","wincon jumps","200","27","10","73","LUNGE","","0","1"
"phione","1","phione","4","sniper","special","WATER","","125","10","4","57","TAKE_HEART","","0","1"
"pichu","3","pichu>pikachu>raichu","1","fighter","common","ELECTRIC/FAIRY","","60","5","1","54","NUZZLE","25/50/100/200 special","2","1"
"pidgey","3","pidgey>pidgeotto>pidgeot","2","skirmisher","common","NORMAL/FLYING","air","60","4","2","57","HURRICANE","25/50/100/200 special","3","0"
"pidove","3","pidove>tranquill>unfezant","2","runner","common","NORMAL/FLYING","wincon air","60","5","3","64","ROOST","","0","3"
"pikachulibre","1","pikachulibre","4","fighter","special","ELECTRIC/FIGHTING/FAIRY","","120","8","4","54","THUNDERCLAP_PRESS","20/40/80/160 special","0","1"
"pikachusurfer","1","pikachusurfer","4","fighter","special","ELECTRIC/WATER/FAIRY","","120","8","4","54","SURF","","0","1"
"pikipek","3","pikipek>trumbeak>toucannon","2","fighter","uncommon","NORMAL/FLYING","air","70","5","4","44","DEFAULT","","0","3"
"pillarconcrete","1","pillarconcrete","6","tank","special","","wincon building","300","0","10","0","DEFAULT","","0","1"
"pillariron","1","pillariron","5","tank","special","","wincon building","200","0","6","0","DEFAULT","","0","1"
"pillarwood","1","pillarwood","2","fighter","special","","building","100","0","2","0","DEFAULT","","0","1"
"pincurchin","1","pincurchin","6","tank","unique","ELECTRIC/WATER","wincon","180","15","12","30","SPARK","30/60/90/180 special","0","1"
"pineco","2","pineco>forretress","3","fighter","uncommon","BUG/STEEL","","75","5","10","38","EXPLOSION","50/100/200/400 special","0","2"
"pinsir","1","pinsir","6","tank","unique","BUG","wincon","190","20","6","52","GUILLOTINE","3/3/3/6 special","0","1"
"piplup","3","piplup>prinplup>empoleon","2","fighter","uncommon","WATER/ICE/STEEL","","60","6","6","44","WAVE_SPLASH","","0","3"
"pirouettemeloetta","1","pirouettemeloetta","7","runner","legendary","NORMAL/FIGHTING","wincon jumps","250","23","12","82","U_TURN","","0","1"
"plusle","1","plusle","6","runner","unique","ELECTRIC","wincon jumps","140","12","6","61","LINK_CABLE","40/40/40/80 special","0","1"
"poipole","2","poipole>naganadel","6","runner","unique","POISON/BUG","wincon jumps","160","10","6","64","FELL_STINGER","4/4/4/8 special","0","2"
"politoed","1","politoed","5","skirmisher","common","WATER","","220","17","2","54","SOAK","20/40/80/160 special","0","1"
"poliwag","2","poliwag>poliwhirl","1","skirmisher","common","WATER/FIGHTING","","65","5","2","54","SOAK","20/40/80/160 special","0","2"
"poliwrath","1","poliwrath","5","tank","common","WATER/FIGHTING","wincon","220","17","6","54","CRABHAMMER","","0","1"
"ponyta","2","ponyta>rapidash","5","runner","epic","FIRE","wincon jumps","90","11","6","59","FLAME_CHARGE","30/60/120/240 special","2","0"
"poochyena","2","poochyena>mightyena","3","bruiser","rare","DARK","","80","9","4","47","GROWL","","0","2"
"popplio","3","popplio>brionne>primarina","2","sniper","hatch","WATER/FAIRY","","65","5","4","44","SPARKLING_ARIA","15/25/50/100 special","0","3"
"porygon","3","porygon>porygon2>porygonz","5","skirmisher","ultra","NORMAL","","100","13","12","54","TRI_ATTACK","60/120/250/500 special","0","3"
"psyduck","2","psyduck>golduck","3","fighter","uncommon","WATER/PSYCHIC","","75","7","4","52","PSYSHOCK","","0","2"
"pumpkaboo","2","pumpkaboo>gourgeist","4","bruiser","epic","GHOST/GRASS","","80","10","12","52","TRICK_OR_TREAT","","0","2"
"purrloin","2","purrloin>liepard","3","runner","uncommon","DARK","wincon jumps","70","7","3","59","FAKE_OUT","40/80/150/300 special","0","2"
"pyukumuku","1","pyukumuku","6","tank","unique","WATER/POISON","wincon","150","10","14","27","PURIFY","","0","1"
"quaxly","3","quaxly>quaxwell>quaquaval","3","fighter","uncommon","WATER/FIGHTING/FLYING","air","60","6","5","55","AQUA_STEP","25/50/100/200 special","0","3"
"qwilfish","1","qwilfish","6","tank","unique","WATER/POISON","wincon","150","13","15","52","STOCKPILE","","0","1"
"raikou","1","raikou","7","runner","legendary","ELECTRIC","wincon jumps","300","26","10","62","VOLT_SWITCH","25/50/100/200 special","1","0"
"ralts","2","ralts>kirlia","3","sniper","epic","PSYCHIC/FAIRY","","90","6","4","51","FUTURE_SIGHT","20/30/50/80 special","0","2"
"rattata","2","rattata>raticate","1","fighter","common","NORMAL","","50","4","2","56","AGILITY","","2","0"
"rayquaza","2","rayquaza>megarayquaza","7","tank","legendary","DRAGON/FLYING","wincon air","300","27","10","55","DRACO_METEOR","","0","2"
"regice","1","regice","7","tank","legendary","ICE","wincon","300","25","15","41","HAIL","50/50/50/80 special","0","1"
"regidrago","1","regidrago","7","tank","legendary","DRAGON","wincon","350","25","10","51","DRAGON_ENERGY","","0","1"
"regieleki","1","regieleki","7","skirmisher","legendary","ELECTRIC","","250","20","6","89","THUNDER_CAGE","15/30/60/120 special","0","1"
"regigigas","1","regigigas","7","tank","legendary","NORMAL","wincon","400","30","10","57","CRUSH_GRIP","","0","1"
"regirock","1","regirock","7","tank","legendary","ROCK","wincon","300","25","20","41","STEALTH_ROCKS","30/40/50/80 special","0","1"
"registeel","1","registeel","7","tank","legendary","STEEL","wincon","300","25","15","41","IRON_HEAD","","0","1"
"relicanth","1","relicanth","6","tank","unique","ROCK/WATER","wincon","220","13","14","43","ROCK_TOMB","30/60/120/240 special","0","1"
"remoraid","2","remoraid>octillery","3","bruiser","special","WATER","","60","13","4","39","AQUA_JET","20/40/80/160 special","0","2"
"reshiram","1","reshiram","7","sniper","legendary","DRAGON/FIRE","","200","28","6","54","BLUE_FLARE","","0","1"
"rhyhorn","3","rhyhorn>rhydon>rhyperior","6","tank","ultra","GROUND/ROCK","wincon","120","14","12","38","HORN_DRILL","3/4/5/10 special","0","3"
"riolu","2","riolu>lucario","2","skirmisher","rare","FIGHTING/STEEL","","65","6","4","54","AURASPHERE","","0","2"
"roaringmoon","1","roaringmoon","7","sniper","legendary","DRAGON/DARK","","200","25","6","61","SCALE_SHOT","40/40/40/80 special","0","1"
"rockruff","2","rockruff>lycanrocdusk","5","runner","epic","ROCK","wincon jumps","90","12","2","61","ACCELEROCK","","0","2"
"roggenrola","3","roggenrola>boldore>gigalith","3","skirmisher","epic","ROCK","","90","4","8","37","ROCK_ARTILLERY","20/30/40/80 special","3","0"
"rookidee","3","rookidee>corvisquire>corviknight","3","fighter","rare","STEEL/FLYING","air","80","8","8","46","STEEL_WING","","0","3"
"rotom","1","rotom","6","sniper","unique","ELECTRIC/GHOST","","200","10","6","54","PLASMA_FISSION","20/40/60/120 special","0","1"
"rotomdrone","1","rotomdrone","6","skirmisher","unique","ELECTRIC","","180","12","7","54","PLASMA_FLASH","5/10/20/40 special","0","1"
"rotomfan","1","rotomfan","6","sniper","unique","ELECTRIC/FLYING","air","200","10","6","54","PLASMA_TEMPEST","20/30/40/80 special","0","1"
"rotomfrost","1","rotomfrost","6","skirmisher","unique","ELECTRIC/ICE","","200","11","6","54","DEEP_FREEZE","","0","1"
"rotomheat","1","rotomheat","6","tank","unique","ELECTRIC/FIRE","wincon","200","13","10","54","SUPER_HEAT","4/7/10/20 special","0","1"
"rotommow","1","rotommow","6","tank","unique","ELECTRIC/GRASS","wincon","190","14","8","54","TRIMMING_MOWER","20/30/40/80 special","0","1"
"rotomwash","1","rotomwash","6","skirmisher","unique","ELECTRIC/WATER","","180","12","7","54","POWER_WASH","80/120/160/320 special","0","1"
"rowlet","3","rowlet>dartix>decidueye","3","sniper","hatch","GRASS/FLYING/GHOST","air","70","5","4","47","SPIRIT_SHACKLE","25/50/75/150 special","0","3"
"rufflet","2","rufflet>braviary","3","fighter","uncommon","FLYING","air","70","7","4","51","CRUSH_CLAW","1/1/1/2 physical","0","2"
"sableye","2","sableye>megasableye","6","tank","unique","DARK/GHOST","wincon","200","13","8","41","KNOCK_OFF","","0","2"
"salandit","2","salandit>salazzle","2","skirmisher","rare","FIRE/POISON","","70","6","4","63","FIRE_LASH","30/60/120/240 special","0","2"
"samurott","1","samurott","6","tank","epic","WATER/FIGHTING","wincon","290","32","16","47","AQUA_TAIL","30/60/100/200 special","0","1"
"sandile","3","sandile>krokorok>krookodile","3","fighter","hatch","DARK/GROUND","","80","6","4","54","FOUL_PLAY","","0","3"
"sandshrew","2","sandshrew>sandslash","3","tank","uncommon","GROUND/NORMAL","wincon","90","5","6","46","ROLLOUT","","2","0"
"sandygast","2","sandygast>palossand","2","fighter","uncommon","GHOST/GROUND","","60","6","6","36","SHORE_UP","","0","2"
"scatterbug","2","scatterbug>spewpa","2","skirmisher","hatch","BUG","","70","4","3","52","POWDER","10/20/30/50 special","0","2"
"scizor","1","scizor","6","tank","unique","BUG/STEEL/FIGHTING","wincon true","170","22","14","42","BULLET_PUNCH","20/30/40/80 true","0","1"
"scorbunny","3","scorbunny>raboot>cinderace","2","skirmisher","hatch","FIRE","","75","5","4","63","PYRO_BALL","10/20/40/80 special","0","3"
"scraggy","2","scraggy>scrafty","3","fighter","uncommon","DARK/FIGHTING","","70","8","4","44","ASSURANCE","25/50/100/200 special","0","2"
"screamtail","1","screamtail","7","runner","unique","PSYCHIC/FAIRY","wincon jumps","210","16","12","71","BOOMBURST","","0","1"
"scyther","1","scyther","6","runner","unique","BUG/FLYING","wincon air true","170","17","10","59","X_SCISSOR","10/20/40/60 true","0","1"
"seedot","3","seedot>nuzleaf>shiftry","2","fighter","common","GRASS/DARK","","60","6","4","51","RAZOR_LEAF","20/40/80/160 special","0","3"
"seel","2","seel>dewgong","3","fighter","uncommon","ICE/WATER","","80","7","8","47","AURORA_BEAM","25/50/100/200 special","0","2"
"sentret","2","sentret>furret","3","fighter","rare","GROUND/NORMAL","","80","6","6","54","HELPING_HAND","","0","2"
"seviper","1","seviper","6","tank","unique","POISON","wincon","180","22","8","46","VENOSHOCK","30/60/120/240 special","0","1"
"sewaddle","3","sewaddle>swadloon>leavanny","2","fighter","uncommon","GRASS/BUG","","60","5","3","54","MANTIS_BLADES","10/20/40/80 physical","0","3"
"shadowlugia","1","shadowlugia","7","runner","legendary","WATER/FLYING/DARK","wincon air","300","26","12","60","SKY_ATTACK_SHADOW","30/60/120/240 special","0","1"
"shadowmewtwo","1","shadowmewtwo","7","sniper","legendary","PSYCHIC/DARK","","200","25","10","67","PSYSTRIKE","20/40/80/160 special","0","1"
"shaymin","2","shaymin>shayminsky","7","sniper","legendary","GRASS","","200","25","10","57","SEED_FLARE","20/25/30/60 special","0","2"
"shedinja","1","shedinja","4","bruiser","epic","BUG/GHOST","","100","14","0","38","WONDER_GUARD","30/60/120/240 special","0","1"
"shellder","2","shellder>cloyster","2","fighter","uncommon","WATER/ICE/ROCK","","70","5","10","47","SHELL_SMASH","15/30/60/120 special","0","2"
"shelloseastsea","2","shelloseastsea>gastrodoneastsea","5","tank","epic","WATER/ROCK/GROUND","wincon","120","9","6","38","ANCIENT_POWER","40/80/120/200 special","0","2"
"shelloswestsea","2","shelloswestsea>gastrodonwestsea","5","tank","epic","WATER/GROUND","wincon","120","9","6","38","MUDDY_WATER","40/80/160/320 special","0","2"
"shieldon","2","shieldon>bastiodon","4","tank","rare","ROCK/STEEL","wincon","90","7","6","35","IRON_DEFENSE","","0","2"
"shinx","3","shinx>luxio>luxray","6","tank","ultra","ELECTRIC","wincon","120","13","10","47","VOLT_SWITCH","25/50/100/200 special","0","3"
"shroomish","2","shroomish>breloom","2","fighter","uncommon","GRASS/FIGHTING","","70","7","4","47","LEECH_SEED","","0","2"
"shuckle","1","shuckle","7","tank","unique","BUG/ROCK","wincon","150","5","40","27","BIDE","","0","1"
"shuppet","3","shuppet>banette>megabanette","4","bruiser","epic","GHOST","","100","10","4","46","SHADOW_CLONE","","0","3"
"sigilyph","1","sigilyph","6","sniper","unique","PSYCHIC/FLYING","air","200","14","6","56","PSYCHO_SHIFT","20/40/60/120 special","0","1"
"silcoon","2","silcoon>beautifly","6","tank","epic","BUG/NORMAL","wincon","200","23","12","20","SPIKY_SHIELD","30/30/30/60 special","0","2"
"silicobra","2","silicobra>sandaconda","3","bruiser","rare","GROUND","","80","10","7","48","SAND_SPIT","30/60/120/240 special","0","2"
"sinistea","2","sinistea>polteageist","2","skirmisher","uncommon","GHOST","","60","4","3","47","TEA_TIME","","0","2"
"sizzlipede","2","sizzlipede>centiskorch","3","bruiser","uncommon","FIRE/BUG","","75","9","2","46","BURN_UP","50/100/200/400 special","0","2"
"skarmory","1","skarmory","7","tank","unique","STEEL/FLYING","wincon air","190","18","16","47","ROAR","20/40/80/160 special","0","1"
"skiddo","2","skiddo>gogoat","4","fighter","epic","GRASS","","140","8","5","44","CITY_SHUTTLE","10/20/40/80 special","0","2"
"skitty","2","skitty>delcatty","2","fighter","uncommon","NORMAL/FAIRY","","65","6","3","32","DISARMING_VOICE","","0","2"
"skorupi","2","skorupi>drapion","4","bruiser","epic","DARK/BUG/POISON","","80","9","10","55","POISON_STING","","0","2"
"skrelp","2","skrelp>dragalge","2","sniper","uncommon","POISON/WATER","","60","7","2","39","SLUDGE_WAVE","10/20/40/80 special","0","2"
"skwovet","2","skwovet>greedent","3","fighter","rare","NORMAL","","90","7","5","28","STUFF_CHEEKS","","0","2"
"slakoth","3","slakoth>vigoroth>slaking","5","tank","epic","NORMAL","wincon","130","5","10","57","SLACK_OFF","","0","3"
"sligoo","2","sligoo>goodra","3","fighter","common","DRAGON/WATER","","120","8","4","35","ACID_ARMOR","","0","2"
"slitherwing","1","slitherwing","6","tank","unique","BUG/FIGHTING","wincon","180","20","6","45","SKITTER_SMACK","15/30/60/120 special","0","1"
"slowbro","1","slowbro","5","tank","uncommon","PSYCHIC/WATER","wincon","160","12","10","35","YAWN","","0","1"
"slowking","1","slowking","5","sniper","uncommon","PSYCHIC/WATER","","160","11","8","35","WISE_YAWN","","0","1"
"slowpoke","1","slowpoke","3","fighter","uncommon","PSYCHIC/WATER","","80","7","6","35","YAWN","","0","1"
"slugma","2","slugma>magcargo","3","fighter","rare","FIRE/ROCK","","70","7","8","35","LAVA_PLUME","20/40/80/160 special","0","2"
"smeargle","1","smeargle","6","sniper","unique","NORMAL","","250","19","6","49","SKETCH","","0","1"
"smoliv","3","smoliv>dolliv>arboliva","1","skirmisher","common","GRASS/NORMAL","","60","5","2","25","TERRAIN_PULSE","","0","3"
"smoochum","2","smoochum>jynx","2","skirmisher","uncommon","ICE/PSYCHIC","","60","5","2","61","LOVELY_KISS","50/100/150/300 special","0","2"
"sneasel","2","sneasel>weavile","4","runner","epic","ICE/DARK","wincon jumps","85","8","2","65","SLASHING_CLAW","15/30/60/120 special","0","2"
"snivy","3","snivy>servine>serperior","2","sniper","hatch","GRASS","","90","4","2","61","MAGICAL_LEAF","10/20/40/80 special","0","3"
"snom","2","snom>frosmoth","2","sniper","rare","BUG/ICE","","70","8","2","46","POWDER_SNOW","20/40/80/160 special","0","2"
"snorunt","3","snorunt>glalie>froslass","3","sniper","epic","GHOST/ICE","","90","9","4","60","ICY_WIND","25/50/100/200 special","0","3"
"snover","3","snover>abomasnow>megaabomasnow","5","tank","epic","GRASS/ICE","wincon","90","10","6","44","SHEER_COLD","50/100/200/400 special","0","3"
"snubull","2","snubull>granbull","5","tank","epic","FAIRY","wincon","115","13","8","39","ROAR","20/40/80/160 special","0","2"
"sobble","3","sobble>drizzile>inteleon","5","sniper","ultra","WATER","","120","12","4","63","SNIPE_SHOT","40/80/160/320 special","0","3"
"solgaleo","1","solgaleo","7","tank","legendary","PSYCHIC/STEEL","wincon","300","27","12","56","SUNSTEEL_STRIKE","","0","1"
"solosis","3","solosis>duosion>reuniclus","3","skirmisher","ultra","PSYCHIC","","100","6","4","35","PSYCHIC","40/80/160/320 special","0","3"
"solrock","1","solrock","6","skirmisher","unique","ROCK/FIRE","","200","20","4","47","COSMIC_POWER_SUN","","0","1"
"spearow","2","spearow>fearow","1","fighter","common","FLYING","air","50","4","2","57","PECK","10/30/50/100 special","2","0"
"spectrier","1","spectrier","7","runner","legendary","GHOST","wincon jumps","280","25","10","67","ASTRAL_BARRAGE","","0","1"
"spheal","3","spheal>sealeo>walrein","3","fighter","uncommon","WATER/ICE","","80","6","6","46","ICE_BALL","10/20/30/60 special","3","0"
"spinarak","2","spinarak>ariados","2","skirmisher","uncommon","BUG/POISON","","60","6","2","38","STRING_SHOT","10/20/50/100 special","0","2"
"spinda","1","spinda","6","tank","unique","NORMAL","wincon","200","20","10","44","TEETER_DANCE","","0","1"
"spiritomb","1","spiritomb","6","tank","unique","ROCK/GHOST","wincon","150","18","12","36","SOUL_TRAP","","0","1"
"spoink","2","spoink>grumpig","4","tank","rare","PSYCHIC","wincon","100","5","8","51","BOUNCE","15/20/25/30 special","0","2"
"sprigatito","3","sprigatito>floragato>meowscarada","1","skirmisher","common","GRASS/DARK","","55","5","2","63","FLOWER_TRICK","15/40/85/170 special","0","3"
"squirtle","3","squirtle>wartortle>blastoise","1","sniper","common","WATER","","60","5","2","50","HYDRO_PUMP","20/40/80/160 special","3","0"
"stakataka","1","stakataka","7","tank","legendary","ROCK/STEEL","wincon","300","20","30","29","IRON_DEFENSE","","0","1"
"stantler","1","stantler","6","tank","unique","PSYCHIC","wincon","180","19","6","52","PSYSHIELD_BASH","","0","1"
"starly","3","starly>staravia>staraptor","2","fighter","common","NORMAL/FLYING","air","65","5","3","57","BRAVE_BIRD","30/60/90/180 special","0","3"
"staryu","2","staryu>starmie","3","skirmisher","rare","WATER/PSYCHIC","","80","6","4","62","PSYBEAM","25/50/100/200 special","0","2"
"stonjourner","1","stonjourner","6","tank","unique","ROCK/GROUND","wincon","200","20","20","47","GRAVITY","","0","1"
"stufful","2","stufful>bewear","4","tank","epic","NORMAL/FIGHTING","wincon","100","8","6","44","POWER_HUG","40/80/160/320 special","0","2"
"stunky","2","stunky>skuntank","4","bruiser","epic","DARK/POISON","","125","9","4","52","POISON_GAS","15/30/60/120 special","0","2"
"substitute","1","substitute","2","fighter","special","","","80","1","2","28","DEFAULT","","0","1"
"suicune","1","suicune","7","tank","legendary","WATER","wincon","300","28","10","52","AQUA_JET","20/40/80/160 special","0","1"
"sunkern","2","sunkern>sunflora","3","skirmisher","rare","GRASS","","80","9","6","35","SOLAR_BEAM","25/50/100/200 special","0","2"
"surskit","2","surskit>masquerain","2","skirmisher","rare","BUG/WATER","","70","6","4","51","AQUA_JET","20/40/80/160 special","0","2"
"swablu","3","swablu>altaria>megaaltaria","4","skirmisher","epic","FAIRY","","100","9","6","51","HYPER_VOICE","25/50/100/200 special","0","3"
"swinub","3","swinub>piloswine>mamoswine","2","fighter","common","GROUND/ICE","","65","4","5","51","ICICLE_CRASH","20/40/80/160 special","0","3"
"swirlix","2","swirlix>slurpuff","3","bruiser","rare","FAIRY","","80","9","4","48","SWEET_SCENT","","0","2"
"sylveon","1","sylveon","5","tank","special","FAIRY","wincon","150","12","6","43","HAPPY_HOUR","","1","0"
"tadbulb","2","tadbulb>bellibolt","2","fighter","rare","ELECTRIC/WATER","","85","5","5","29","SUPERCELL_SLAM","10/20/40/80 special","0","2"
"taillow","2","taillow>swellow","4","runner","rare","FLYING","wincon air","70","7","6","80","AIR_SLASH","25/50/100/200 special","0","2"
"tandemaus","3","tandemaus>mausholdthree>mausholdfour","6","runner","unique","NORMAL/FAIRY","wincon jumps","160","14","10","61","POPULATION_BOMB","","0","3"
"tangela","2","tangela>tangrowth","3","tank","uncommon","GRASS","wincon","100","4","8","41","VINE_WHIP","30/60/100/200 special","0","2"
"tapubulu","1","tapubulu","6","tank","unique","GRASS/FAIRY","wincon","200","16","6","49","GRASSY_SURGE","","0","1"
"tapufini","1","tapufini","6","sniper","unique","FAIRY/WATER","","200","16","6","52","MISTY_SURGE","","0","1"
"tapukoko","1","tapukoko","6","skirmisher","unique","ELECTRIC/FAIRY","","200","14","6","67","ELECTRIC_SURGE","","0","1"
"tapulele","1","tapulele","6","sniper","unique","PSYCHIC/FAIRY","","200","15","6","55","PSYCHIC_SURGE","","0","1"
"tarountula","2","tarountula>spidops","2","skirmisher","uncommon","BUG/NORMAL","","65","6","5","30","SILK_TRAP","","0","2"
"tatsugiricurly","1","tatsugiricurly","4","bruiser","special","WATER","","80","18","2","50","SOAK","20/40/80/160 special","0","1"
"tatsugiridroopy","1","tatsugiridroopy","4","bruiser","special","WATER","","80","10","10","50","SOAK","20/40/80/160 special","0","1"
"tatsugiristretchy","1","tatsugiristretchy","4","runner","special","WATER","wincon jumps","80","10","2","75","SOAK","20/40/80/160 special","0","1"
"tauros","1","tauros","6","runner","unique","NORMAL","wincon jumps","200","16","10","60","RAGING_BULL","20/40/80/160 special","0","1"
"taurosaquabreed","1","taurosaquabreed","6","runner","unique","WATER/FIGHTING","wincon jumps","200","16","10","60","RAGING_BULL","20/40/80/160 special","0","1"
"taurosblazebreed","1","taurosblazebreed","6","runner","unique","FIRE/FIGHTING","wincon jumps","200","16","10","60","RAGING_BULL","20/40/80/160 special","0","1"
"tauroscombatbreed","1","tauroscombatbreed","6","runner","unique","FIGHTING/ROCK","wincon jumps","200","16","10","60","RAGING_BULL","20/40/80/160 special","0","1"
"teddiursa","3","teddiursa>ursaring>ursaluna","6","tank","ultra","GROUND","wincon","150","13","8","41","FURY_SWIPES","","0","3"
"tentacool","2","tentacool>tentacruel","2","fighter","uncommon","WATER/POISON","","65","4","4","57","TOXIC","","0","2"
"tepig","3","tepig>pignite>emboar","3","fighter","hatch","FIRE/FIGHTING","","75","7","4","46","HEAT_CRASH","40/60/80/160 special","0","3"
"terrakion","1","terrakion","7","runner","legendary","ROCK/FIGHTING","wincon jumps","300","30","8","60","SACRED_SWORD_CAVERN","","0","1"
"thundurus","1","thundurus","7","sniper","legendary","FLYING/ELECTRIC","air","250","26","6","61","WILDBOLT_STORM","45/60/75/150 special","0","1"
"timburr","3","timburr>gurdurr>conkeldurr","6","tank","ultra","FIGHTING","wincon","140","15","8","39","COLUMN_CRUSH","","0","3"
"tinkatink","3","tinkatink>tinkatuff>tinkaton","5","tank","epic","STEEL/FAIRY","wincon","100","10","6","55","GIGATON_HAMMER","100/200/400/800 special","0","3"
"tirtouga","2","tirtouga>carracosta","4","tank","uncommon","WATER","wincon","120","8","8","35","DEFAULT","","0","2"
"togedemaru","1","togedemaru","6","tank","unique","ELECTRIC/STEEL","wincon","200","17","12","50","ZING_ZAP","30/60/90/180 special","0","1"
"togepi","3","togepi>togetic>togekiss","2","skirmisher","rare","FAIRY/NORMAL","","80","5","2","51","WISH","","3","0"
"torchic","3","torchic>combusken>blaziken","3","fighter","rare","FIRE/FIGHTING/FLYING","air","80","6","6","51","BLAZE_KICK","30/60/120/240 special","0","3"
"torkoal","1","torkoal","6","tank","unique","FIRE/GROUND","wincon","200","17","16","31","SMOKE_SCREEN","10/20/40/80 special","0","1"
"tornadus","1","tornadus","7","sniper","legendary","FLYING/ICE","air","250","26","6","61","BLEAKWIND_STORM","45/60/75/150 special","0","1"
"totodile","3","totodile>croconaw>feraligatr","3","fighter","rare","WATER","","75","7","4","50","CRUNCH","40/80/160/320 special","0","3"
"toxel","2","toxel>toxtricity","3","fighter","rare","ELECTRIC/POISON","","80","8","4","49","OVERDRIVE","","0","2"
"trapinch","3","trapinch>vibrava>flygon","2","fighter","rare","BUG/GROUND","","70","7","2","57","DRAGON_TAIL","30/60/100/150 special","3","0"
"treecko","3","treecko>grovyle>sceptile","3","runner","uncommon","GRASS","wincon jumps","70","4","6","63","LEAF_BLADE","","0","3"
"tropius","1","tropius","7","tank","unique","GRASS/FLYING","wincon air","200","17","8","41","GROWTH","","0","1"
"trubbish","2","trubbish>garbodor","5","tank","epic","POISON","wincon","110","8","6","49","GUNK_SHOT","50/100/200/400 special","0","2"
"turtonator","1","turtonator","6","tank","unique","DRAGON/FIRE","wincon","200","14","24","37","SHELL_TRAP","","0","1"
"turtwig","3","turtwig>grotle>torterra","3","fighter","rare","GRASS/GROUND","","80","5","7","43","BULLDOZE","25/45/85/160 special","0","3"
"tympole","3","tympole>palpitoad>seismitoad","3","fighter","hatch","WATER/GROUND","","80","7","6","49","SLUDGE_WAVE","10/20/40/80 special","0","3"
"tynamo","3","tynamo>eelektrik>eelektross","2","fighter","uncommon","ELECTRIC/WATER","","50","6","4","41","SUCTION_HEAL","15/30/60/120 special","0","3"
"typenull","2","typenull>silvally","7","tank","legendary","NORMAL/BUG/DARK/DRAGON/ELECTRIC/FAIRY/FIGHTING/FIRE/FLYING/GHOST/GRASS/GROUND/ICE/POISON/PSYCHIC/ROCK/STEEL/WATER","wincon air true","260","20","12","55","HEAD_SMASH","40/80/150/300 true","0","2"
"typhlosion","1","typhlosion","5","skirmisher","uncommon","FIRE","","230","24","6","51","WHEEL_OF_FIRE","10/20/40/80 special","0","1"
"tyrogue","1","tyrogue","6","tank","unique","FIGHTING","wincon","150","11","6","36","MACH_PUNCH","25/50/100/200 special","0","1"
"tyrunt","2","tyrunt>tyrantrum","3","fighter","rare","DRAGON/ROCK","","70","8","8","48","ROCK_HEAD","","0","2"
"ultranecrozma","1","ultranecrozma","7","sniper","legendary","DRAGON/PSYCHIC","","300","29","10","50","PRISMATIC_LASER","","0","1"
"umbreon","1","umbreon","5","tank","special","DARK","wincon","150","12","6","43","HAPPY_HOUR","","1","0"
"unowna","1","unowna","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_A","","0","1"
"unownb","1","unownb","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_B","","0","1"
"unownc","1","unownc","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_C","","0","1"
"unownd","1","unownd","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_D","","0","1"
"unowne","1","unowne","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_E","","0","1"
"unownexclamation","1","unownexclamation","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_EM","","0","1"
"unownf","1","unownf","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_F","","0","1"
"unowng","1","unowng","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_G","","0","1"
"unownh","1","unownh","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_H","","0","1"
"unowni","1","unowni","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_I","","0","1"
"unownj","1","unownj","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_J","","0","1"
"unownk","1","unownk","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_K","","0","1"
"unownl","1","unownl","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_L","","0","1"
"unownm","1","unownm","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_M","","0","1"
"unownn","1","unownn","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_N","","0","1"
"unowno","1","unowno","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_O","","0","1"
"unownp","1","unownp","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_P","","0","1"
"unownq","1","unownq","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_Q","","0","1"
"unownquestion","1","unownquestion","2","artillery","special","PSYCHIC","","100","1","2","40","HIDDEN_POWER_QM","","0","1"
